name,year,kms_driven,fuel_type,Price
Maruti Wagon R LXI LPG BSIV,2010,44000,LPG,225000
Volkswagen Polo 1.2 MPI Comfortline,2015,42000,Petrol,455000
Hyundai i10 Magna 1.1L,2015,45000,Petrol,351000
Volkswagen Vento Petrol Highline,2012,12000,Petrol,535000
Maruti Zen Estilo LXI BSIII,2009,55500,Petrol,175000
Hyundai i20 Asta Optional with Sunroof 1.2,2013,61500,Petrol,525000
Maruti Swift Dzire LDI,2016,150000,Diesel,600000
Hyundai Xcent 1.2 Kappa SX Option AT,2016,72000,Petrol,565000
Maruti Alto LX BSIII,2008,68000,Petrol,120000
Hyundai i20 1.4 Asta Option,2017,110000,Diesel,725000
Maruti Wagon R VXI,2009,77000,Petrol,185000
Tata Manza Aura (ABS) Quadrajet,2010,100000,Diesel,200000
Maruti Swift VXI,2019,10000,Petrol,615000
Maruti Eeco 7 Seater Standard BSIV,2016,100000,Petrol,270000
Maruti Baleno Zeta 1.2,2018,35000,Petrol,610000
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,70000,Diesel,625000
Ford Freestyle Titanium Petrol BSIV,2020,5000,Petrol,400000
Hyundai Verna VTVT 1.6 SX,2017,37800,Petrol,866000
Volkswagen Passat 1.8 TSI MT,2010,114000,Petrol,700000
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,48000,Petrol,300000
Mahindra XUV500 W11 Option AWD,2019,32000,Diesel,1700000
Tata Indigo CS LS (TDI) BS-III,2016,100000,Diesel,375000
Hyundai Verna 1.6 SX,2013,150000,Diesel,522000
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,69000,Diesel,451999
Toyota Corolla Altis G,2009,100000,Petrol,300000
Maruti Celerio VXI,2020,13000,Petrol,475000
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,60000,Diesel,780000
Maruti Swift Dzire VXI,2017,40000,Petrol,595000
Maruti Wagon R VXI BS IV,2017,35000,Petrol,440000
Maruti Swift VDI BSIV,2010,120000,Diesel,300000
Nissan Terrano XL 85 PS,2014,70000,Diesel,400000
Hyundai Creta 1.6 CRDi SX,2016,50000,Diesel,1140000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,76139,Diesel,850000
Maruti Swift Dzire VDi,2012,175000,Diesel,370000
Renault KWID 1.0,2018,25000,Petrol,350000
Maruti Celerio VXI,2015,40000,Petrol,360000
Maruti Alto LXi,2008,65000,Petrol,105000
Maruti Ertiga VDI,2013,90000,Diesel,625000
Hyundai Santro Xing GLS,2009,80000,Petrol,135000
Maruti Ertiga VDI,2015,110000,Diesel,700000
Honda Amaze S i-VTEC,2019,1303,Petrol,690000
Audi Q5 35TDI Premium Plus,2018,31800,Diesel,3975000
Lexus ES 300h,2019,20000,Petrol,5150000
Jaguar XF 2.0 Diesel Portfolio,2017,45000,Diesel,3200000
Jeep Wrangler 2016-2019 3.6 4X4,2017,17000,Petrol,4100000
Land Rover Discovery Sport TD4 SE,2019,21000,Diesel,4500000
Mercedes-Benz S-Class S 350 CDI,2017,37000,Diesel,6000000
BMW 5 Series 520d Sport Line,2018,29500,Diesel,3790000
BMW X1 sDrive 20D xLine,2017,27000,Diesel,2150000
BMW X4 M Sport X xDrive20d,2019,7500,Diesel,5800000
Skoda Superb LK 1.8 TSI AT,2018,50000,Petrol,1864999
Mercedes-Benz E-Class E250 Edition E,2016,35000,Diesel,2700000
MG Hector Sharp AT BSIV,2019,19000,Petrol,1750000
Honda City i-VTEC CVT VX,2017,41000,Petrol,795000
Toyota Corolla Altis 1.8 G CVT,2013,39000,Petrol,625000
Volvo XC40 D4 R-Design,2018,22000,Diesel,3400000
Audi Q7 35 TDI Quattro Premium,2015,53000,Diesel,2650000
Maruti Ciaz ZDi,2015,40000,Diesel,535000
Mercedes-Benz S-Class S 350 CDI,2017,47000,Diesel,5850000
BMW 5 Series 523i,2010,72200,Petrol,975000
Hyundai Elantra S,2016,49900,Petrol,805000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,9000,Diesel,2625000
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,11000,Petrol,811000
Volkswagen Vento Petrol Highline,2011,49000,Petrol,375000
Hyundai Elantra SX,2012,95000,Petrol,550000
Skoda Rapid 1.6 MPI AT Elegance,2016,11000,Petrol,645000
Mercedes-Benz CLA 200 CGI Sport,2018,18000,Petrol,2550000
Maruti Ertiga ZXI,2014,46100,Petrol,599000
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,16000,Petrol,2700000
Honda City V AT,2017,18000,Petrol,875000
Toyota Glanza V CVT,2019,9654,Petrol,894999
Maruti Alto K10 VXI,2011,11000,Petrol,175000
Maruti Swift VXI,2012,24300,Petrol,340000
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,42163,Diesel,1525000
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,8000,Diesel,1025000
BMW 3 Series 320d Luxury Line,2016,30000,Diesel,2150000
Toyota Camry 2.5 Hybrid,2016,41000,Petrol,1900000
BMW 5 Series 520d Luxury Line,2016,12000,Diesel,2900000
Toyota Camry W4 (AT),2009,71000,Petrol,450000
Maruti Ertiga BSIV ZXI Plus,2016,20000,Petrol,850000
Volvo XC90 T8 Excellence BSIV,2017,30000,Petrol,10000000
Volkswagen Vento Diesel Highline,2011,100000,Diesel,300000
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,9500,Petrol,575000
Ford Figo Diesel LXI,2011,120000,Diesel,160000
Maruti Swift VXI Optional,2015,36600,Petrol,515000
Maruti Wagon R AMT VXI,2015,50000,Petrol,390000
Hyundai i20 Magna 1.2,2016,14000,Petrol,550000
Maruti 800 Std,1999,40000,Petrol,40000
Maruti Ritz VDi,2010,120000,Diesel,220000
Hyundai Grand i10 Magna,2015,70000,Petrol,425000
Volkswagen Ameo 1.0 MPI Trendline,2019,13000,Petrol,480000
Hyundai Grand i10 Sportz,2014,60000,Petrol,400000
Maruti Swift Dzire VXI,2014,35000,Petrol,487000
Hyundai Xcent 1.2 Kappa S,2016,44000,Petrol,386000
Honda City 1.5 EXI,2005,120000,Petrol,100000
Toyota Corolla Altis Diesel D4DG,2010,60000,Diesel,300000
Daewoo Matiz SD,2000,60000,Petrol,100000
Toyota Fortuner 4x2 Manual,2014,30000,Diesel,1750000
Mahindra KUV 100 mFALCON G80 K8,2016,15000,Petrol,450000
Tata Zest Quadrajet 1.3 75PS XM,2017,90000,Diesel,490000
Honda City 1.5 S MT,2009,47000,Petrol,345000
Maruti Zen LXI,2005,90000,Petrol,85000
Maruti Wagon R VXI BS IV with ABS,2010,120600,Petrol,215000
Hyundai Verna Transform SX VTVT,2010,100000,Petrol,320000
Maruti Swift Dzire VXI,2016,60000,Petrol,459999
Hyundai Getz GLS,2005,86000,Petrol,65000
Hyundai Elite i20 Sportz Plus BSIV,2020,5000,Petrol,720000
Maruti Ciaz 1.3 Alpha,2017,37000,Diesel,800000
Tata Tigor 1.2 Revotron XZ,2019,14000,Petrol,520000
Maruti Ertiga VDI,2015,70000,Diesel,580000
Toyota Etios GD,2012,120000,Diesel,235000
Honda City i VTEC S,2015,50000,Petrol,600000
Honda Brio S MT,2014,60000,Petrol,290000
Maruti Wagon R LXI CNG,2016,50000,CNG,360000
Maruti Swift Dzire VXI,2017,50000,Petrol,550000
Hyundai i20 Sportz 1.2,2013,70000,Petrol,375000
Maruti Omni E 8 Str STD,2003,90000,Petrol,40000
Maruti Wagon R AMT VXI,2018,35000,Petrol,420000
Maruti Swift Dzire VXI 1.2,2017,20000,Petrol,550000
Maruti Alto 800 LXI,2018,20000,Petrol,270000
Maruti Swift Dzire AMT VXI BS IV,2018,7800,Petrol,700000
Maruti Swift VXI Optional,2017,20000,Petrol,500000
Tata Hexa XE,2019,15000,Diesel,1250000
Hyundai i20 Magna,2013,31377,Petrol,320000
Maruti Swift Dzire VDI,2018,50000,Diesel,700000
Maruti Wagon R VXI BS IV,2015,60000,Petrol,290000
Toyota Corolla Altis 1.8 VL AT,2012,100000,Petrol,550000
Honda Brio S MT,2012,60000,Petrol,265000
Maruti Baleno Alpha Automatic,2018,5000,Petrol,830000
Tata Safari Storme EX,2017,60000,Diesel,800000
Maruti Alto LXi,2011,25000,Petrol,160000
Renault KWID RXT,2018,30000,Petrol,335000
Datsun GO T BSIV,2017,80000,Petrol,329000
Maruti Vitara Brezza VDi Option,2017,75000,Diesel,775000
Hyundai Xcent 1.2 VTVT SX,2020,32000,Petrol,524000
Maruti Alto 800 LXI,2015,40000,Petrol,245000
Hyundai i20 1.2 Sportz,2012,93000,Petrol,275000
Tata Zest Revotron 1.2 XT,2018,60000,Petrol,520000
Maruti Swift 1.3 VXi,2008,120000,Petrol,130000
Nissan Sunny XL,2014,37000,Petrol,550000
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,15000,Petrol,910000
Nissan Micra Active XV S,2015,80000,Petrol,300000
Maruti Wagon R LXI Optional,2016,140000,Petrol,350000
Mahindra Ssangyong Rexton RX5,2013,70000,Diesel,900000
Mahindra Quanto C8,2013,120000,Diesel,300000
Maruti Ritz LDi,2010,110000,Diesel,250000
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017,37000,Diesel,1100000
Renault KWID RXT,2016,44000,Petrol,270000
Maruti Ertiga VDI,2015,80000,Diesel,640000
Mahindra XUV500 W4,2015,125000,Diesel,650000
Maruti Eeco 5 Seater AC BSIV,2017,13500,Petrol,409999
Hyundai Santro Xing GLS,2011,75000,Petrol,165000
Hyundai Accent GLE,2007,120000,Petrol,80000
Mahindra XUV500 W8 2WD,2012,120000,Diesel,535000
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,70000,Diesel,700000
Maruti Swift Dzire VDI,2013,70000,Diesel,550000
Honda Amaze S CVT Petrol BSIV,2019,15000,Petrol,680000
Hyundai i10 Sportz 1.2,2009,53000,Petrol,200000
Maruti Swift Dzire VDI,2014,120000,Diesel,500000
Maruti Ertiga SHVS ZDI Plus,2016,70000,Diesel,1000000
Hyundai Getz 1.3 GVS,2008,120000,Petrol,110000
Hyundai i20 1.2 Magna,2012,100000,Petrol,320000
Tata Indica DLS,2005,110000,Diesel,75000
Maruti Swift LXI Optional-O,2015,100000,Petrol,350000
Tata Indica Vista TDI LS,2013,162500,Diesel,170000
Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,39000,Diesel,800000
Maruti Ignis 1.3 Alpha,2017,75000,Diesel,500000
Tata Hexa XTA,2017,50000,Diesel,1380000
Mahindra Marazzo M6 8Str,2019,40000,Diesel,1300000
Hyundai Verna 1.6 CRDI,2013,92500,Diesel,530000
Maruti Swift Dzire VDI,2012,158000,Diesel,360000
Maruti Swift Dzire LDi,2012,120000,Diesel,310000
Honda City i DTEC V,2015,50000,Diesel,725000
Maruti Swift Dzire ZDi,2012,110000,Diesel,340000
Hyundai Xcent 1.2 CRDi E,2017,2000,Diesel,550000
Toyota Fortuner 3.0 Diesel,2011,181000,Diesel,1150000
Tata Tiago 1.05 Revotorq XZ,2016,70000,Diesel,380000
Nissan Sunny XL AT Special Edition,2013,90000,Petrol,350000
Hyundai Elite i20 Magna Plus BSIV,2019,2000,Petrol,610000
Maruti Swift Dzire VXI,2015,20000,Petrol,525000
Toyota Innova 2.5 GX 7 STR,2011,120000,Diesel,480000
Mahindra Thar CRDe,2017,35000,Diesel,780000
Maruti Swift Dzire ZDi,2012,193000,Diesel,320000
Maruti Swift 1.2 DLX (Only Delhi),2014,80000,Petrol,375000
Datsun GO D Petrol,2019,40000,Petrol,300000
Hyundai i20 Asta 1.4 CRDi,2015,70000,Diesel,500000
Mahindra Scorpio LX,2011,122358,Diesel,404000
Tata Sumo Gold EX BSIII,2015,75000,Diesel,500000
Tata Tiago Wizz 1.05 Revotorq,2017,120000,Diesel,350000
Tata Zest Revotron 1.2 XT,2015,40000,Petrol,380000
Hyundai Accent GLE,2008,95200,Petrol,114999
Honda Brio Exclusive Edition,2014,33033,Petrol,335000
Hyundai Grand i10 AT Asta,2015,63063,Petrol,465000
Tata Manza Club Class Quadrajet90 LX,2012,60000,Diesel,290000
Maruti Alto LX,2005,45000,Petrol,110000
Tata New Safari DICOR 2.2 EX 4x2,2011,80000,Diesel,450000
Mahindra Bolero SLE,2009,170000,Diesel,400000
Mahindra Bolero DI DX 7 Seater,2007,207890,Diesel,210000
Mercedes-Benz GL-Class 220d 4MATIC Sport,2018,7976,Diesel,4600000
Maruti Omni E MPI STD BS IV,2016,35000,Petrol,220000
Hyundai Grand i10 Sportz,2017,35000,Petrol,450000
Hyundai Grand i10 Sportz,2017,35000,Petrol,450000
Hyundai i10 Sportz AT,2013,50000,Petrol,290000
Maruti Swift VXI Deca,2016,20000,Petrol,520000
Hyundai i10 Sportz AT,2011,20000,Petrol,265000
Maruti Swift VXI,2012,50000,Petrol,330000
Maruti Swift VXI,2012,50000,Petrol,330000
Mahindra Bolero 2011-2019 ZLX,2014,120000,Diesel,509999
Hyundai Verna 1.6 SX VTVT (O),2014,70000,Petrol,500000
Hyundai i20 Active 1.2,2015,50000,Petrol,525000
Maruti Baleno Zeta,2019,16500,Petrol,675000
Hyundai i20 1.2 Asta,2010,70000,Petrol,300000
Maruti Alto LXI,2005,99361,Petrol,90000
Maruti Swift Dzire VDI,2017,25000,Diesel,650000
Maruti Swift Dzire VXI,2014,70000,Petrol,409000
Hyundai Grand i10 CRDi Sportz,2015,80000,Diesel,395000
Maruti Swift 1.3 VXi,2010,70000,Petrol,215000
Maruti Swift Dzire VXI,2014,70000,Petrol,400000
Chevrolet Beat LS,2012,60000,Petrol,120000
Tata Tigor 1.2 Revotron XZA,2018,10000,Petrol,645000
Maruti 800 Std,2006,80000,Petrol,81000
Honda City i-DTEC VX,2017,30000,Diesel,1300000
Honda City i-DTEC VX,2017,33000,Diesel,1250000
Maruti Ertiga VXI,2013,90000,Petrol,535000
Nissan Terrano XV Premium 110 PS,2014,80100,Diesel,555000
Honda City i VTEC VX,2014,120000,Petrol,725000
Mahindra Willys CJ 3B 4X4,1983,10000,Diesel,300000
Renault KWID RXL,2016,40000,Petrol,229999
Toyota Innova 2.5 GX (Diesel) 8 Seater,2013,160000,Diesel,800000
Maruti Wagon R VXI BS IV,2017,47000,Petrol,409999
Hyundai Creta 1.4 CRDi S Plus,2018,25000,Diesel,1210000
Tata Tiago 1.2 Revotron XZ,2017,26000,Petrol,400000
Hyundai Grand i10 1.2 CRDi Sportz,2018,29000,Diesel,520000
Maruti Baleno Zeta Automatic,2016,50000,Petrol,650000
Maruti Swift ZXI ABS,2011,58000,Petrol,325000
Maruti Swift Dzire VXi AT,2012,120000,Petrol,420000
Maruti Swift LXI Option,2014,50000,Petrol,400000
Hyundai i20 1.2 Asta,2010,80000,Petrol,254999
Maruti Zen LXI,2003,60000,Petrol,65000
Maruti Celerio LXI,2017,36000,Petrol,351000
Toyota Innova 2.5 V Diesel 8-seater,2007,120000,Diesel,404000
Maruti Ritz LDi,2011,185000,Diesel,185000
Nissan Micra Diesel XV,2011,50000,Diesel,250000
Maruti Zen LXI,2002,100000,Petrol,60000
Hyundai Verna 1.6 SX VTVT (O),2013,50000,Petrol,500000
Maruti Zen Estilo LXI BSIII,2007,80000,Petrol,85000
Hyundai Santro Xing XL,2005,60000,Petrol,85000
Maruti Alto LX,2005,80000,Petrol,85000
Maruti Swift Dzire ZDi,2011,90000,Diesel,265000
Maruti A-Star Vxi,2010,162000,Petrol,130000
Maruti Ertiga VDI,2013,110000,Diesel,480000
Maruti Swift Ldi BSIII,2008,120000,Diesel,170000
Nissan Micra Diesel XV,2011,45000,Diesel,275000
Maruti Wagon R LXI,2005,90000,Petrol,89000
Ford Figo Diesel Titanium,2010,90000,Diesel,170000
Mahindra XUV300 W8 Option BSIV,2019,16500,Petrol,1090000
Hyundai Creta 1.6 CRDi AT SX Plus,2017,67000,Diesel,1100000
Maruti Swift VXI BSIV,2018,52000,Petrol,610000
Datsun GO T Option BSIV,2016,40000,Petrol,335000
Hyundai Grand i10 Asta,2015,40000,Petrol,434999
Toyota Fortuner 2.8 2WD MT BSIV,2018,35000,Diesel,3000000
Renault KWID RXL,2018,13000,Petrol,390000
Honda Brio 1.2 VX MT,2012,40000,Petrol,325000
Volkswagen Ameo 1.2 MPI Comfortline Plus,2019,10000,Petrol,640000
Nissan Sunny XV Special Edition,2012,9000,Petrol,450000
Toyota Etios Liva GD SP,2013,70000,Diesel,400000
Hyundai i10 Sportz,2009,60000,Petrol,215000
Renault Duster 85PS Diesel RxL,2014,40000,Diesel,570000
Mahindra XUV500 W8 2WD,2012,93000,Diesel,680000
Toyota Innova 2.5 V Diesel 7-seater,2008,80000,Diesel,325000
Tata Indigo CS eGLX BS IV,2011,50000,Petrol,150000
Hyundai Elantra SX AT,2013,68000,Petrol,690000
Mercedes-Benz New C-Class 220 CDI AT,2013,25000,Diesel,1550000
Tata Nano STD,2012,18000,Petrol,64000
Nissan Micra Diesel XL,2013,120000,Diesel,250000
Maruti Wagon R LXI,2005,35000,Petrol,65000
Maruti Swift Dzire VDI,2016,60000,Diesel,550000
Hyundai i10 Magna,2010,70000,Petrol,140000
Renault KWID RXT,2016,30000,Petrol,300000
Volkswagen GTI 1.8 TSI,2016,70000,Petrol,800000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,9000,Diesel,2625000
Lexus ES 300h,2019,20000,Petrol,5150000
Jaguar XF 2.0 Diesel Portfolio,2017,45000,Diesel,3200000
Tata Safari Storme EX,2015,110000,Diesel,503000
Volvo XC40 D4 Inscription BSIV,2019,20000,Diesel,3800000
Toyota Camry 2.5 Hybrid,2016,68089,Petrol,2000000
Maruti Wagon R LXI,2013,58343,Petrol,225000
Maruti Baleno Alpha 1.3,2018,38817,Diesel,740000
Honda Jazz VX,2016,56494,Petrol,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,79328,Diesel,750000
Maruti Swift AMT VVT VXI,2019,5621,Petrol,650000
Toyota Etios VX,2017,25538,Petrol,625000
Maruti Swift AMT ZXI,2018,69779,Petrol,600000
Hyundai Grand i10 1.2 CRDi Sportz,2017,56290,Diesel,450000
BMW X4 M Sport X xDrive20d,2019,7500,Diesel,5400000
BMW X4 M Sport X xDrive20d,2019,8500,Diesel,5500000
Honda Amaze V CVT Petrol BSIV,2019,7032,Petrol,779000
Skoda Rapid 1.6 MPI AT Elegance,2016,11000,Petrol,645000
Volvo V40 D3 R-Design,2018,2000,Diesel,2475000
Hyundai i10 Magna,2010,106000,Petrol,150000
Toyota Etios Liva Diesel TRD Sportivo,2012,162000,Diesel,265000
Honda CR-V 2.4L 4WD AT,2009,120000,Petrol,500000
Maruti Swift Dzire VDI,2015,90000,Diesel,480000
Hyundai Verna 1.6 SX CRDi (O),2014,70000,Diesel,535000
Toyota Innova 2.5 G1 Diesel 8-seater,2005,240000,Diesel,250000
Maruti SX4 Celebration Diesel,2012,100000,Diesel,300000
Hyundai Verna XXi ABS (Petrol),2009,214000,Petrol,340000
Hyundai Verna CRDi SX,2009,214000,Diesel,340000
Maruti Alto 800 VXI,2016,50000,Petrol,240000
Honda City i-VTEC CVT V,2018,1000,Petrol,1085000
Maruti Swift Dzire AMT VDI,2017,19000,Diesel,750000
Tata Indigo LS,2012,265000,Diesel,95000
Maruti Eeco CNG 5 Seater AC,2020,35000,CNG,409999
Maruti Alto K10 VXI,2014,80000,Petrol,215000
Mahindra XUV500 AT W10 AWD,2016,50000,Diesel,1290000
Maruti Alto K10 LXI,2010,80000,Petrol,150000
Hyundai EON Sportz,2013,50000,Petrol,219000
Tata Tiago 1.2 Revotron XE,2018,100000,Petrol,325000
Maruti Eeco Smiles 5 Seater AC,2013,120000,Petrol,260000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,9000,Diesel,2625000
Lexus ES 300h,2019,20000,Petrol,5150000
Jaguar XF 2.0 Diesel Portfolio,2017,45000,Diesel,3200000
Tata Safari Storme EX,2015,110000,Diesel,503000
Volvo XC40 D4 Inscription BSIV,2019,20000,Diesel,3800000
Toyota Camry 2.5 Hybrid,2016,68089,Petrol,2000000
Maruti Wagon R LXI,2013,58343,Petrol,225000
Maruti Baleno Alpha 1.3,2018,38817,Diesel,740000
Honda Jazz VX,2016,56494,Petrol,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,79328,Diesel,750000
Maruti Swift AMT VVT VXI,2019,5621,Petrol,650000
Toyota Etios VX,2017,25538,Petrol,625000
Maruti Swift AMT ZXI,2018,69779,Petrol,600000
Hyundai Grand i10 1.2 CRDi Sportz,2017,56290,Diesel,450000
BMW X4 M Sport X xDrive20d,2019,7500,Diesel,5400000
BMW X4 M Sport X xDrive20d,2019,8500,Diesel,5500000
Honda Amaze V CVT Petrol BSIV,2019,7032,Petrol,779000
Skoda Rapid 1.6 MPI AT Elegance,2016,11000,Petrol,645000
Volvo V40 D3 R-Design,2018,2000,Diesel,2475000
Honda Amaze S CVT Diesel BSIV,2019,40000,Diesel,700000
Hyundai Creta 1.4 CRDi Base,2017,45000,Diesel,950000
Maruti Alto LXi BSIII,2010,80000,Petrol,160000
Hyundai Xcent 1.1 CRDi S Option,2015,135000,Diesel,409999
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,120000,Diesel,840000
Toyota Etios Liva Diesel,2013,67000,Diesel,450000
Maruti Swift Dzire ZDI Plus,2017,50000,Diesel,900000
Toyota Innova 2.5 V Diesel 7-seater,2008,134000,Diesel,570000
Nissan Micra Diesel XV,2011,110000,Diesel,254999
Maruti 800 AC BSIII,2009,40000,Petrol,130000
Maruti Swift Dzire VDI,2013,120000,Diesel,530000
Volkswagen Polo 1.5 TDI Highline,2015,110000,Diesel,520000
Mahindra Verito 1.5 D2 BSIII,2011,170000,Diesel,229999
Maruti 800 AC BSIII,2004,80000,Petrol,81000
Maruti Swift VDI Optional,2016,47000,Diesel,600000
Hyundai Xcent 1.2 Kappa S Option,2015,93000,Petrol,409999
Maruti 800 Std,2010,70000,Petrol,120000
Maruti Celerio VXI,2014,50000,Petrol,320000
