name,company,year,kms_driven,fuel_type,Price
Hyundai i10 magna,Hyundai,2014,18000,Petrol,265000
Hyundai verna fluidic,Hyundai,2015,35000,Diesel,525000
Maruti suzuki swift,Maruti,2013,13349,Petrol,372000
Maruti suzuki ertiga,Maruti,2016,29000,Petrol,635000
Ford ecosport titanium,Ford,2014,44000,Diesel,550000
Maruti suzuki ertiga,Maruti,2016,29000,Petrol,575000
Maruti suzuki ertiga,Maruti,2013,42000,Diesel,485000
Maruti suzuki alto,Maruti,2012,14000,Petrol,155000
Hyundai grand i10,Hyundai,2014,49000,Diesel,345000
Honda amaze 1.2,Honda,2014,42000,Petrol,325000
Hyundai i20 asta,Hyundai,2012,36200,Diesel,329500
Ford figo diesel,Ford,2014,50000,Diesel,195000
Maruti suzuki eeco,Maruti,2015,55000,Petrol,251111
Maruti suzuki ertiga,Maruti,2014,45000,Petrol,569999
Maruti suzuki esteem,Maruti,2007,51000,Petrol,69999
Maruti suzuki ritz,Maruti,2014,19000,Petrol,299999
Maruti suzuki dzire,Maruti,2009,46000,Petrol,220000
Maruti suzuki ritz,Maruti,2013,33000,Diesel,399999
Maruti suzuki dzire,Maruti,2015,104000,Diesel,450000
Toyota etios liva,Toyota,2014,55000,Petrol,270000
Hyundai i20 sportz,Hyundai,2011,33333,Diesel,350000
Chevrolet spark,Chevrolet,2012,33600,Petrol,158400
Maruti suzuki alto,Maruti,2017,5600,Petrol,350000
Nissan micra xv,Nissan,2011,41000,Petrol,179000
Maruti suzuki swift,Maruti,2007,70000,Petrol,125000
Maruti suzuki alto,Maruti,2018,7500,Petrol,200000
Honda amaze 1.5,Honda,2013,45000,Diesel,299000
Maruti suzuki alto,Maruti,2015,38000,Petrol,220000
Chevrolet beat,Chevrolet,2015,30000,Petrol,150000
Toyota corolla,Toyota,2009,26000,Diesel,275000
Honda city 1.5,Honda,2010,35000,Petrol,285000
Ford ecosport trend,Ford,2016,24330,Diesel,830000
Hyundai i20 asta,Hyundai,2009,65480,Petrol,210000
Maruti suzuki swift,Maruti,2013,41000,Petrol,340000
Tata indica v2,Tata,2006,20000,Petrol,90000
Toyota corolla altis,Toyota,2010,70000,Petrol,289999
Toyota corolla altis,Toyota,2012,59000,Petrol,349999
Toyota innova 2.5,Toyota,2012,99000,Diesel,849999
Volkswagen jetta highline,Volkswagen,2014,46000,Diesel,749999
Volkswagen polo comfortline,Volkswagen,2015,2800,Petrol,399999
Volkswagen polo,Volkswagen,2014,32000,Petrol,274999
Mahindra scorpio,Mahindra,2015,22000,Diesel,984999
Nissan sunny,Nissan,2012,45000,Petrol,224999
Hyundai elite i20,Hyundai,2018,21000,Petrol,599999
Renault kwid,Renault,2016,11000,Petrol,244999
Renault duster,Renault,2013,41000,Diesel,399999
Renault duster,Renault,2014,50000,Diesel,474999
Mahindra scorpio vlx,Mahindra,2011,66000,Diesel,499999
Maruti suzuki alto,Maruti,2018,3000,Petrol,310000
Chevrolet spark lt,Chevrolet,2010,45000,Petrol,85000
Datsun redi go,Datsun,2016,7000,Petrol,245000
Maruti suzuki swift,Maruti,2010,38500,Diesel,189500
Fiat punto emotion,Fiat,2012,37200,Diesel,169500
Maruti suzuki swift,Maruti,2010,43200,Diesel,159500
Toyota etios gd,Toyota,2013,24800,Petrol,275000
Hyundai i20 sportz,Hyundai,2014,60000,Diesel,370000
Hyundai i10 sportz,Hyundai,2010,45872,Petrol,168000
Chevrolet beat lt,Chevrolet,2011,40000,Diesel,150000
Chevrolet beat ls,Chevrolet,2011,45000,Diesel,145000
Chevrolet beat lt,Chevrolet,2012,38000,Diesel,98500
Tata indigo cs,Tata,2011,11400,Diesel,85000
Toyota corolla altis,Toyota,2015,42000,Petrol,575000
Honda city 1.5,Honda,2014,39000,Petrol,549000
Maruti suzuki swift,Maruti,2011,47000,Diesel,209000
Hyundai eon era,Hyundai,2013,27000,Petrol,185000
Mahindra scorpio s10,Mahindra,2015,97200,Diesel,900000
Mahindra xuv500,Mahindra,2014,52000,Diesel,699999
Ford fiesta,Ford,2011,55000,Diesel,274999
Honda city,Honda,2015,30000,Diesel,599999
Maruti suzuki wagon,Maruti,2012,44000,Petrol,199999
Honda city,Honda,2014,45000,Diesel,544999
Hyundai i20,Hyundai,2009,31000,Petrol,199000
Tata indigo ecs,Tata,2016,175430,Diesel,320000
Hyundai fluidic verna,Hyundai,2015,38000,Diesel,540000
Mahindra quanto c8,Mahindra,2013,37000,Diesel,340000
Fiat petra elx,Fiat,2008,65000,Petrol,75000
Hyundai santro xing,Hyundai,2005,7500,Petrol,49000
Maruti suzuki ciaz,Maruti,2016,3350,Petrol,700000
Maruti suzuki zen,Maruti,2000,60000,Petrol,55000
Hyundai creta 1.6,Hyundai,2017,32000,Petrol,895000
Mahindra scorpio slx,Mahindra,2007,75000,Diesel,355000
Mahindra scorpio sle,Mahindra,2012,62000,Diesel,565000
Toyota innova 2.5,Toyota,2006,73000,Diesel,365000
Maruti suzuki alto,Maruti,2011,41000,Petrol,145000
Maruti suzuki wagon,Maruti,2011,35000,Petrol,210000
Tata nano cx,Tata,2013,2200,Petrol,40000
Maruti suzuki alto,Maruti,2013,39000,Petrol,125000
Maruti suzuki wagon,Maruti,2009,45000,Petrol,135000
Maruti suzuki swift,Maruti,2006,45000,Petrol,135000
Tata sumo victa,Tata,2012,65000,Diesel,285000
Maruti suzuki wagon,Maruti,2010,54870,Petrol,145000
Maruti suzuki alto,Maruti,2010,34580,Petrol,135000
Volkswagen passat diesel,Volkswagen,2009,97000,Diesel,450000
Renault scala rxl,Renault,2015,25000,Diesel,375000
Hyundai grand i10,Hyundai,2014,20000,Petrol,365000
Hyundai i20 active,Hyundai,2015,18000,Petrol,500000
Mahindra xylo e4,Mahindra,2012,35000,Diesel,400000
Mahindra jeep mm,Mahindra,2019,60,Diesel,390000
Mahindra bolero sle,Mahindra,2013,80200,Diesel,330000
Force motors force,Force,2015,3200,Diesel,580000
Maruti suzuki sx4,Maruti,2012,46000,Diesel,265000
Mahindra jeep cl550,Mahindra,2019,0,Diesel,379000
Maruti suzuki alto,Maruti,2015,5000,Petrol,219000
Mahindra jeep cl550,Mahindra,2018,588,Diesel,385000
Toyota etios,Toyota,2011,36000,Diesel,275000
Volkswagen polo,Volkswagen,2015,38000,Diesel,330000
Honda city zx,Honda,2008,45000,Petrol,110000
Maruti suzuki wagon,Maruti,2006,71200,Petrol,80000
Honda city vx,Honda,2016,52000,Diesel,519000
Mahindra thar crde,Mahindra,2016,29000,Diesel,730000
Audi a4 1.8,Audi,2009,47000,Petrol,699000
Renault kwid rxt,Renault,2017,5000,Petrol,340000
Tata aria pleasure,Tata,2014,35000,Diesel,390000
Datsun go t,Datsun,2016,7000,Petrol,245000
Tata indigo ecs,Tata,2016,175400,Diesel,320000
Honda jazz vx,Honda,2016,41000,Petrol,450000
Honda amaze 1.2,Honda,2014,33000,Petrol,311000
Honda city,Honda,2012,45000,Petrol,399999
Honda city,Honda,2015,39000,Diesel,599999
Mahindra scorpio s4,Mahindra,2015,30000,Diesel,855000
Hyundai i20 active,Hyundai,2015,37000,Diesel,535000
Maruti suzuki ciaz,Maruti,2017,14000,Petrol,699000
Chevrolet tavera neo,Chevrolet,2013,55000,Diesel,375000
Hyundai eon sportz,Hyundai,2012,30000,Petrol,178000
Tata sumo gold,Tata,2013,50000,Diesel,300000
Maruti suzuki wagon,Maruti,2003,45000,Petrol,90000
Maruti suzuki esteem,Maruti,2006,45000,Petrol,95000
Maruti suzuki eeco,Maruti,2015,9300,Petrol,255000
Chevrolet enjoy 1.4,Chevrolet,2013,55000,Diesel,245000
Maruti suzuki wagon,Maruti,2015,22000,Petrol,289999
Nissan terrano xl,Nissan,2015,60000,Diesel,499999
Renault duster 85,Renault,2014,59000,Diesel,489999
Renault duster 85,Renault,2015,19000,Diesel,549999
Maruti suzuki dzire,Maruti,2013,30000,Petrol,380000
Renault kwid rxt,Renault,2018,15000,Petrol,325000
Maruti suzuki maruti,Maruti,2003,56758,Petrol,57000
Renault kwid 1.0,Renault,2018,10000,Petrol,349999
Renault scala rxl,Renault,2014,49000,Diesel,349999
Hyundai grand i10,Hyundai,2014,41000,Petrol,410000
Maruti suzuki swift,Maruti,2011,45000,Petrol,225000
Chevrolet beat ls,Chevrolet,2010,43000,Petrol,120000
Hyundai santro xing,Hyundai,2000,56450,Petrol,59000
Chevrolet beat ls,Chevrolet,2010,56000,Petrol,80000
Chevrolet beat ls,Chevrolet,2015,32700,Petrol,220000
Ford ecosport titanium,Ford,2016,30000,Diesel,599000
Hyundai accent glx,Hyundai,2006,56000,Petrol,80000
Mahindra tuv300 t4,Mahindra,2016,9000,Diesel,675000
Tata indica v2,Tata,2008,11000,Petrol,150000
Tata indigo cs,Tata,2009,46000,Diesel,72500
Maruti suzuki swift,Maruti,2019,73,Petrol,610000
Mahindra scorpio vlx,Mahindra,2004,160000,Diesel,230000
Honda accord,Honda,2009,58559,Petrol,175000
Ford ecosport titanium,Ford,2014,57000,Diesel,520000
Maruti suzuki ertiga,Maruti,2015,50000,Diesel,524999
Honda amaze,Honda,2014,37000,Petrol,299999
Maruti suzuki dzire,Maruti,2012,40000,Petrol,299999
Honda city,Honda,2011,55000,Petrol,284999
Mahindra scorpio 2.6,Mahindra,2007,170000,Diesel,220000
Maruti suzuki dzire,Maruti,2014,55000,Diesel,424999
Honda city,Honda,2015,39000,Petrol,644999
Honda mobilio,Honda,2014,44000,Petrol,399999
Toyota corolla altis,Toyota,2009,65000,Petrol,199999
Honda city,Honda,2014,39000,Petrol,584999
Skoda laura,Skoda,2012,44000,Diesel,349999
Renault duster,Renault,2015,49000,Diesel,449999
Maruti suzuki ertiga,Maruti,2018,9000,Diesel,799999
Maruti suzuki dzire,Maruti,2015,45000,Diesel,444999
Mahindra xuv500,Mahindra,2014,47000,Diesel,649999
Hyundai verna fluidic,Hyundai,2012,40000,Diesel,444999
Maruti suzuki vitara,Maruti,2016,29000,Diesel,689999
Maruti suzuki wagon,Maruti,2016,15000,Petrol,344999
Mahindra scorpio,Mahindra,2015,45000,Diesel,944999
Honda amaze,Honda,2014,35000,Petrol,274999
Mahindra xuv500,Mahindra,2013,80000,Diesel,689999
Mahindra scorpio,Mahindra,2013,68000,Diesel,574999
Skoda laura,Skoda,2013,50000,Diesel,374999
Volkswagen polo,Volkswagen,2010,60000,Diesel,199999
Hyundai elite i20,Hyundai,2016,9000,Petrol,549999
Tata manza aura,Tata,2012,72000,Diesel,130000
Chevrolet sail uva,Chevrolet,2013,60000,Petrol,210000
Hyundai verna fluidic,Hyundai,2013,45000,Diesel,401000
Hyundai elantra sx,Hyundai,2013,20000,Petrol,600000
Mahindra scorpio vlx,Mahindra,2013,35000,Diesel,610000
Mahindra kuv100 k8,Mahindra,2016,20000,Diesel,400000
Hyundai grand i10,Hyundai,2017,6821,Petrol,524999
Hyundai i20,Hyundai,2014,23000,Petrol,449999
Hyundai eon,Hyundai,2014,14000,Petrol,174999
Hyundai i10,Hyundai,2012,38000,Petrol,244999
Hyundai i20 active,Hyundai,2015,35000,Diesel,574999
Datsun redi go,Datsun,2017,22000,Petrol,244999
Toyota etios liva,Toyota,2011,41000,Petrol,239999
Hyundai accent,Hyundai,2010,45000,Petrol,99999
Hyundai verna,Hyundai,2014,44000,Diesel,489999
Maruti suzuki swift,Maruti,2013,45000,Diesel,324999
Toyota fortuner,Toyota,2011,52000,Diesel,1074999
Hyundai i10 sportz,Hyundai,2012,34000,Petrol,230000
Mahindra bolero power,Mahindra,2018,1800,Diesel,699000
Mahindra xuv500,Mahindra,2015,15000,Diesel,1000000
Chevrolet spark lt,Chevrolet,2009,44000,Petrol,110000
Mahindra xuv500,Mahindra,2016,72000,Diesel,1130000
Tata indigo ecs,Tata,2014,40000,Diesel,250000
Skoda rapid elegance,Skoda,2013,48000,Diesel,340000
Tata vista quadrajet,Tata,2011,90000,Diesel,120000
Maruti suzuki alto,Maruti,2015,12000,Petrol,265000
Maruti suzuki zen,Maruti,2003,69900,Petrol,85000
Hyundai i10 magna,Hyundai,2011,45000,Petrol,175000
Maruti suzuki swift,Maruti,2016,166000,Diesel,350000
Honda city zx,Honda,2008,42000,Petrol,149000
Mahindra jeep mm,Mahindra,2006,122,Diesel,425000
Chevrolet beat diesel,Chevrolet,2017,62000,Diesel,150000
Honda city 1.5,Honda,2010,70000,Petrol,225000
Hyundai verna 1.4,Hyundai,2014,36000,Petrol,375000
Toyota innova 2.5,Toyota,2012,0,Diesel,770000
Maruti suzuki maruti,Maruti,1995,55000,Petrol,30000
Maruti suzuki swift,Maruti,2014,55000,Diesel,335000
Hyundai elite i20,Hyundai,2015,20000,Diesel,450000
Maruti suzuki swift,Maruti,2012,40000,Petrol,225000
Maruti suzuki versa,Maruti,2004,50000,Petrol,80000
Tata indigo lx,Tata,2016,104000,Diesel,130000
Volkswagen vento konekt,Volkswagen,2011,65000,Diesel,245000
Mercedes benz c,Mercedes,2002,41000,Petrol,399000
Maruti suzuki ertiga,Maruti,2013,90000,Diesel,450000
Honda city,Honda,2000,80000,Petrol,65000
Hyundai santro xing,Hyundai,2006,46000,Petrol,75000
Maruti suzuki omni,Maruti,2001,70000,Petrol,70000
Hyundai sonata transform,Hyundai,2017,36469,Diesel,190000
Hyundai elite i20,Hyundai,2018,7800,Petrol,600000
Maruti suzuki alto,Maruti,2017,60000,Petrol,240000
Maruti suzuki alto,Maruti,2011,32000,Petrol,155000
Honda jazz s,Honda,2009,24695,Petrol,169999
Hyundai grand i10,Hyundai,2017,15141,Petrol,450000
Maruti suzuki zen,Maruti,2001,40000,Petrol,40000
Mahindra scorpio w,Mahindra,2012,65000,Diesel,165000
Maruti suzuki alto,Maruti,2014,22000,Petrol,270000
Hyundai grand i10,Hyundai,2016,59910,Diesel,280000
Mahindra xuv500 w8,Mahindra,2012,100000,Diesel,560000
Hyundai creta 1.6,Hyundai,2016,25000,Petrol,950000
Hyundai i20 magna,Hyundai,2013,35000,Petrol,310000
Renault duster 85,Renault,2015,65000,Diesel,715000
Hyundai grand i10,Hyundai,2014,35000,Petrol,340000
Honda brio v,Honda,2012,33000,Petrol,235000
Mahindra tuv300 t4,Mahindra,2017,68000,Diesel,610000
Chevrolet spark ls,Chevrolet,2010,23000,Petrol,95000
Mahindra tuv300 t8,Mahindra,2018,4500,Diesel,1000000
Maruti suzuki swift,Maruti,2015,129000,Diesel,220000
Maruti suzuki alto,Maruti,2015,5000,Petrol,230000
Ford ikon 1.3,Ford,2001,65000,Petrol,45000
Toyota fortuner 3.0,Toyota,2010,131000,Diesel,940000
Tata manza elan,Tata,2010,111111,Petrol,155555
Chevrolet beat ls,Chevrolet,2016,22000,Diesel,210000
Ford ecosport trend,Ford,2013,38000,Diesel,495000
Tata indigo ls,Tata,2016,70000,Diesel,125000
Hyundai i20 magna,Hyundai,2010,36000,Petrol,195000
Volkswagen vento highline,Volkswagen,2015,34000,Diesel,550000
Renault kwid rxt,Renault,2015,43000,Petrol,270000
Ford ecosport titanium,Ford,2014,40000,Diesel,500000
Honda amaze 1.5,Honda,2016,160000,Diesel,240000
Hyundai verna 1.6,Hyundai,2017,12000,Petrol,800000
Skoda superb 1.8,Skoda,2011,68000,Petrol,530000
Mahindra bolero di,Mahindra,2012,59466,Diesel,220000
Ford figo duratorq,Ford,2012,99000,Diesel,250000
Maruti suzuki wagon,Maruti,2018,25500,Petrol,395000
Mahindra logan diesel,Mahindra,2009,66000,Petrol,130000
Tata nano genx,Tata,2010,44005,Petrol,32000
Mahindra tuv300 t4,Mahindra,2016,35000,Diesel,540000
Hyundai elite i20,Hyundai,2015,28000,Petrol,405000
Hyundai elite i20,Hyundai,2015,30000,Petrol,400000
Honda city sv,Honda,2017,4000,Petrol,760000
Maruti suzuki baleno,Maruti,2016,28000,Petrol,500000
Ford figo petrol,Ford,2011,75000,Petrol,175000
Honda city,Honda,2017,3000,Petrol,750000
Hyundai elite i20,Hyundai,2015,20000,Petrol,419000
Maruti suzuki versa,Maruti,2004,50000,Petrol,90000
Hyundai eon era,Hyundai,2018,2110,Petrol,140000
Hyundai i10 magna,Hyundai,2008,100200,Petrol,275000
Toyota corolla h2,Toyota,2003,100000,Petrol,150000
Maruti suzuki swift,Maruti,2011,65,Petrol,230000
Tata indigo cs,Tata,2015,100000,Diesel,123000
Hyundai xcent base,Hyundai,2016,140000,Diesel,300000
Hyundai accent executive,Hyundai,2009,48000,Petrol,165000
Maruti suzuki baleno,Maruti,2016,22000,Petrol,498000
Tata zest xe,Tata,2018,103553,Diesel,480000
Maruti suzuki dzire,Maruti,2017,80000,Diesel,488000
Tata sumo gold,Tata,2014,99000,Diesel,250000
Toyota corolla altis,Toyota,2010,58000,Petrol,220000
Maruti suzuki eeco,Maruti,2013,70000,LPG,290000
Mahindra xuv500 w6,Mahindra,2013,49800,Diesel,548900
Tata tigor revotron,Tata,2019,100,Diesel,650000
Maruti suzuki 800,Maruti,2001,81876,Petrol,55000
Maruti suzuki ertiga,Maruti,2015,75000,Petrol,550000
Honda mobilio s,Honda,2014,44000,Diesel,399000
Maruti suzuki ertiga,Maruti,2016,55000,Diesel,730000
Maruti suzuki vitara,Maruti,2017,36000,Diesel,725000
Hyundai verna 1.6,Hyundai,2016,56000,Diesel,195000
Maruti suzuki swift,Maruti,2007,62000,Petrol,130000
Maruti suzuki omni,Maruti,2014,6020,Petrol,190000
Honda amaze,Honda,2013,55700,Diesel,250000
Tata indica,Tata,2005,42000,Petrol,80000
Hyundai santro xing,Hyundai,2003,50000,Petrol,120000
Maruti suzuki zen,Maruti,2010,35000,Petrol,149000
Maruti suzuki wagon,Maruti,2014,18500,Petrol,250000
Maruti suzuki wagon,Maruti,2007,7000,Petrol,120000
Honda brio vx,Honda,2017,11000,Petrol,450000
Maruti suzuki zen,Maruti,2003,53000,Petrol,99999
Maruti suzuki zen,Maruti,2008,23000,Petrol,135000
Maruti suzuki wagon,Maruti,2016,35500,Diesel,225000
Maruti suzuki alto,Maruti,2010,22134,Petrol,99000
Renault kwid rxt,Renault,2019,1000,Petrol,370000
Tata nano lx,Tata,2010,9000,Petrol,52000
Hyundai eon magna,Hyundai,2014,35000,Petrol,190000
Honda city 1.5,Honda,2014,22000,Petrol,499000
Hindustan motors ambassador,Hindustan,2002,25000,Diesel,90000
Maruti suzuki ritz,Maruti,2010,40000,Petrol,149000
Hyundai grand i10,Hyundai,2017,20000,Petrol,400000
Hyundai eon d,Hyundai,2016,87000,Petrol,120000
Maruti suzuki swift,Maruti,2015,55000,Petrol,250000
Maruti suzuki wagon,Maruti,2017,23000,Petrol,375000
Honda amaze 1.2,Honda,2014,6000,Petrol,381000
Maruti suzuki estilo,Maruti,2013,65000,Petrol,180000
Maruti suzuki vitara,Maruti,2016,25000,Diesel,580000
Maruti suzuki eeco,Maruti,2015,39000,Petrol,278000
Hyundai creta 1.6,Hyundai,2016,8000,Petrol,1000000
Mahindra scorpio vlx,Mahindra,2013,75000,Diesel,690000
Maruti suzuki ertiga,Maruti,2012,51000,Diesel,480000
Mitsubishi lancer 1.8,Mitsubishi,2006,50000,Petrol,85000
Maruti suzuki maruti,Maruti,2001,75000,Petrol,40000
Maruti suzuki alto,Maruti,2015,55800,Petrol,90000
Hyundai grand i10,Hyundai,2015,53000,Petrol,340000
Hyundai eon d,Hyundai,2018,25000,Petrol,260000
Ford fiesta sxi,Ford,2009,56400,Petrol,250000
Maruti suzuki ritz,Maruti,2010,72160,Diesel,180000
Hyundai verna fluidic,Hyundai,2012,10000,Diesel,350000
Maruti suzuki wagon,Maruti,2006,48000,Petrol,90001
Maruti suzuki estilo,Maruti,2007,36000,Petrol,115000
Maruti suzuki wagon,Maruti,2003,133000,Petrol,130000
Maruti suzuki wagon,Maruti,2009,27000,Petrol,159000
Maruti suzuki wagon,Maruti,2009,35000,Petrol,160000
Maruti suzuki alto,Maruti,2010,55000,Petrol,110000
Maruti suzuki baleno,Maruti,2016,40000,Petrol,425000
Hyundai verna 1.6,Hyundai,2019,2000,Petrol,900000
Maruti suzuki swift,Maruti,2009,45000,Petrol,150000
Hyundai getz prime,Hyundai,2009,20000,Petrol,110000
Hyundai santro,Hyundai,2000,88000,Petrol,51999
Hyundai getz prime,Hyundai,2009,20000,Petrol,115000
Chevrolet beat ps,Chevrolet,2012,65422,Diesel,215000
Ford ecosport trend,Ford,2017,10000,Petrol,580000
Maruti suzuki dzire,Maruti,2013,35000,Petrol,380000
Hyundai fluidic verna,Hyundai,2013,117000,Diesel,350000
Tata indica v2,Tata,2005,150000,Diesel,35000
Bmw x1 xdrive20d,Bmw,2011,72000,Diesel,1150000
Hyundai i20 asta,Hyundai,2010,10750,Petrol,300000
Honda city 1.5,Honda,2009,55000,Petrol,269000
Tata nano,Tata,2013,6800,Petrol,60000
Chevrolet cruze ltz,Chevrolet,2014,41000,Diesel,400000
Hyundai verna fluidic,Hyundai,2015,73000,Diesel,430000
Maruti suzuki swift,Maruti,2011,65000,Diesel,140000
Maruti suzuki alto,Maruti,2014,37000,Petrol,199000
Hyundai accent gle,Hyundai,2006,55000,Petrol,90000
Force motors one,Force,2013,140000,Diesel,550000
Maruti suzuki alto,Maruti,2019,9800,Petrol,265000
Chevrolet spark 1.0,Chevrolet,2011,27000,Petrol,100000
Hyundai i10,Hyundai,2009,27000,Petrol,215000
Toyota etios liva,Toyota,2012,20000,Diesel,380000
Renault duster 85ps,Renault,2013,57923,Diesel,401919
Chevrolet enjoy,Chevrolet,2014,30201,Diesel,490000
Maruti suzuki alto,Maruti,2017,6200,Petrol,280000
Bmw 5 series,Bmw,2009,37518,Petrol,650000
Toyota etios liva,Toyota,2014,24652,Petrol,160000
Mahindra jeep mm,Mahindra,2004,383,Diesel,424000
Chevrolet beat ls,Chevrolet,2016,95000,Diesel,225000
Chevrolet cruze ltz,Chevrolet,2011,35000,Diesel,350000
Jeep wrangler unlimited,Jeep,2015,3528,Diesel,950000
Maruti suzuki ertiga,Maruti,2013,52500,Diesel,485000
Hyundai verna vgt,Hyundai,2010,47900,Diesel,205000
Maruti suzuki omni,Maruti,2012,14000,Petrol,160000
Maruti suzuki celerio,Maruti,2018,37000,Petrol,310000
Tata zest quadrajet,Tata,2017,90000,Diesel,180000
Mahindra xuv500 w6,Mahindra,2013,52800,Diesel,549900
Tata indigo cs,Tata,2016,104000,Diesel,150000
Hyundai i10 era,Hyundai,2011,30000,Petrol,175000
Tata indigo lx,Tata,2016,104000,Diesel,230000
Tata indigo ecs,Tata,2016,104000,Diesel,230000
Tata indigo marina,Tata,2004,70000,Diesel,180000
Hyundai xcent sx,Hyundai,2015,43000,Diesel,400000
Hyundai eon magna,Hyundai,2013,23000,Petrol,185000
Renault duster 85,Renault,2015,51000,Diesel,385000
Maruti suzuki alto,Maruti,2009,62000,Petrol,90000
Tata nano lx,Tata,2010,48008,Petrol,32000
Renault duster 110,Renault,2013,39000,Diesel,435000
Maruti suzuki wagon,Maruti,2010,40000,Petrol,225000
Maruti suzuki swift,Maruti,2006,48247,Petrol,189700
Maruti suzuki ertiga,Maruti,2012,39000,Diesel,389700
Maruti suzuki swift,Maruti,2014,23000,Petrol,365000
Maruti suzuki alto,Maruti,2017,9400,Petrol,360000
Hyundai i20 magna,Hyundai,2010,50000,Petrol,210000
Hyundai i10 magna,Hyundai,2009,75000,Petrol,170000
Tata zest xe,Tata,2017,70000,Diesel,380000
Mahindra xylo e8,Mahindra,2009,64000,Diesel,295000
Toyota corolla altis,Toyota,2010,55000,Petrol,185000
Renault kwid 1.0,Renault,2018,2137,Petrol,290000
Tata venture ex,Tata,2013,30000,Diesel,100000
