name,company,year,kms_driven,fuel_type,Price
Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,"15,975 kms",Diesel,"2,90,000"
Maruti Suzuki Alto LX,Maruti,2008,"70,000 kms",Petrol,"95,000"
Mahindra Bolero DI,Mahindra,2017,"23,452 kms",Diesel,"1,80,000"
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,"35,522 kms",Diesel,"3,85,000"
Mahindra Scorpio S10 4WD,Mahindra,2015,"48,508 kms",Diesel,"2,50,000"
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,"15,487 kms",Petrol,"1,80,000"
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,"39,000 kms",Petrol,"1,05,000"
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,"39,000 kms",Petrol,"1,05,000"
Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,"82,000 kms",Diesel,"6,50,000"
Renault Lodgy 85 PS RXL,Renault,2018,"20,000 kms",Diesel,"6,89,999"
Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,"68,000 kms",Diesel,"4,48,000"
Maruti Suzuki Baleno Delta 1.2,Maruti,2017,"32,000 kms",Diesel,"5,49,000"
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,"38,000 kms",Diesel,"5,01,000"
Renault Duster 85 PS RxE Diesel,Renault,2013,"27,000 kms",Diesel,"4,89,999"
Honda City 1.5 S MT,Honda,2011,"33,000 kms",Petrol,"2,80,000"
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,"60,000 kms",Petrol,"2,50,000"
Maruti Suzuki Dzire,Maruti,2013,"46,000 kms",Diesel,"3,49,999"
Honda Amaze,Honda,2013,"46,000 kms",Diesel,"2,84,999"
Honda Amaze 1.5 SX i DTEC,Honda,2015,"36,000 kms",Diesel,"3,45,000"
Honda City,Honda,2015,"55,000 kms",Petrol,"4,99,999"
Datsun Redi GO S,Datsun,2017,"16,000 kms",Petrol,"2,35,000"
Maruti Suzuki SX4 ZXI MT,Maruti,2010,"36,000 kms",Petrol,"2,49,999"
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"47,000 kms",Diesel,"14,75,000"
Mahindra Bolero DI,Mahindra,2017,"23,452 kms",Diesel,"1,80,000"
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,"35,522 kms",Diesel,"3,85,000"
Mahindra Scorpio S10 4WD,Mahindra,2015,"48,508 kms",Diesel,"2,50,000"
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,"15,487 kms",Petrol,"1,80,000"
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,"39,000 kms",Petrol,"1,05,000"
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,"39,000 kms",Petrol,"1,05,000"
Mahindra Scorpio S10,Mahindra,2015,"35,000 kms",Diesel,"3,95,000"
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,"30,874 kms",Petrol,"2,20,000"
Honda City ZX CVT,Honda,2017,"15,000 kms",Diesel,"1,70,000"
Maruti Suzuki Wagon R LX BS IV,Maruti,2013,"29,685 kms",Petrol,"85,000"
Ford Figo,Ford,2012,"41,000 kms",Diesel,"1,75,000"
Hyundai Eon,Hyundai,2013,"25,000 kms",Petrol,"1,90,000"
Tata Indigo eCS LS CR4 BS IV,Tata,2017,"1,30,000 kms",Diesel,"2,00,000"
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,"24,530 kms",Diesel,"8,30,000"
Tata Indigo eCS LS CR4 BS IV,Tata,2017,"1,30,000 kms",Diesel,"2,00,000"
Mahindra Scorpio SLE BS IV,Mahindra,2012,"19,000 kms",Diesel,"5,70,000"
Volkswagen Polo Highline Exquisite P,Volkswagen,2014,"60,000 kms",Petrol,"3,15,000"
Skoda Fabia Classic 1.2 MPI,Skoda,2010,"60,000 kms",Petrol,"1,82,000"
Maruti Suzuki Stingray VXi,Maruti,2015,"30,000 kms",Petrol,"3,15,000"
I want to sell my car Tata Zest,I,2017,,,Ask For Price
Chevrolet Spark LS 1.0,Chevrolet,2010,"41,000 kms",Petrol,"1,10,000"
Renault Duster 110PS Diesel RxZ,Renault,2012,"35,000 kms",Diesel,"5,01,000"
Honda City,Honda,2015,"54,000 kms",Petrol,"4,48,999"
Mini Cooper S 1.6,Mini,2013,"13,000 kms",Petrol,"18,91,111"
Datsun Redi GO S,Datsun,2017,"16,000 kms",Petrol,"2,35,000"
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"38,200 kms",Diesel,"1,59,500"
Honda Amaze,Honda,2015,"22,000 kms",Petrol,"3,44,999"
Honda Amaze,Honda,2015,"22,000 kms",Petrol,"3,44,999"
Renault Duster,Renault,2014,"50,000 kms",Diesel,"4,49,999"
Mini Cooper S 1.6,Mini,2013,"13,500 kms",Petrol,"18,91,111"
Mahindra Scorpio S4,Mahindra,2015,"30,000 kms",Diesel,"8,65,000"
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,"50,000 kms",Diesel,"6,99,000"
Mahindra Quanto C8,Mahindra,2013,"20,000 kms",Diesel,"3,75,000"
Ford EcoSport,Ford,2017,"39,000 kms",Petrol,"4,89,999"
Honda Brio,Honda,2012,"30,000 kms",Petrol,"2,24,999"
I want to sell my car Tata Zest,I,2017,,,Ask For Price
Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,"3,600 kms",Diesel,"12,00,000"
Hyundai i20 Magna,Hyundai,2009,"32,000 kms",Petrol,"1,95,000"
Toyota Corolla Altis Diesel D4DG,Toyota,2010,"38,000 kms",Diesel,"3,51,000"
Hyundai Verna Transform SX VTVT,Hyundai,2008,"45,000 kms",Petrol,"1,60,000"
Toyota Corolla Altis Petrol Ltd,Toyota,2009,"35,000 kms",Petrol,"2,40,000"
Honda City 1.5 EXi New,Honda,2005,"50,000 kms",Petrol,"90,000"
Hyundai Elite i20 Magna 1.2,Hyundai,2014,"32,000 kms",Petrol,"4,15,000"
Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,"45,863 kms",Diesel,"1,55,000"
BMW 3 Series 320i,BMW,2011,"60,500 kms",Petrol,"6,00,000"
Maruti Suzuki A Star Lxi,Maruti,2011,"12,500 kms",Petrol,"1,89,500"
Toyota Etios GD,Toyota,2013,"60,000 kms",Diesel,"3,50,000"
Ford Figo Diesel EXI Option,Ford,2012,"35,000 kms",Diesel,"2,10,000"
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,"35,000 kms",Petrol,"3,90,000"
Chevrolet Beat LT Diesel,Chevrolet,2012,"45,000 kms",Diesel,"1,35,000"
BMW 7 Series 740Li Sedan,BMW,2009,"35,000 kms",Petrol,"16,00,000"
Mahindra XUV500 W8 AWD 2013,Mahindra,2013,"38,000 kms",Diesel,"7,01,000"
Hyundai i10 Magna 1.2,Hyundai,2014,"18,000 kms",Petrol,"2,65,000"
Hyundai Verna Fluidic New,Hyundai,2015,"35,000 kms",Diesel,"5,25,000"
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,"13,349 kms",Petrol,"3,72,000"
Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,"29,000 kms",Petrol,"6,35,000"
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,"44,000 kms",Diesel,"5,50,000"
Maruti Suzuki Ertiga Vxi,Maruti,2016,"29,000 kms",Petrol,"5,75,000"
Maruti Suzuki Ertiga VDi,Maruti,2013,"42,000 kms",Diesel,"4,85,000"
Maruti Suzuki Alto LXi BS III,Maruti,2012,"14,000 kms",Petrol,"1,55,000"
Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014,"49,000 kms",Diesel,"3,45,000"
Honda Amaze 1.2 S i VTEC,Honda,2014,"42,000 kms",Petrol,"3,25,000"
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,"36,200 kms",Diesel,"3,29,500"
Ford Figo Diesel EXI,Ford,2014,"50,000 kms",Diesel,"1,95,000"
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"55,000 kms",Petrol,"2,51,111"
Maruti Suzuki Ertiga ZXi,Maruti,2014,"45,000 kms",Petrol,"5,69,999"
Maruti Suzuki Esteem LXi BS III,Maruti,2007,"51,000 kms",Petrol,"69,999"
Maruti Suzuki Ritz VXI,Maruti,2014,"19,000 kms",Petrol,"2,99,999"
Maruti Suzuki Dzire,Maruti,2009,"46,000 kms",Petrol,"2,20,000"
Maruti Suzuki Ritz LDi,Maruti,2013,"33,000 kms",Diesel,"3,99,999"
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,"13,349 kms",Petrol,"3,72,000"
Maruti Suzuki Dzire VDI,Maruti,2015,"1,04,000 kms",Diesel,"4,50,000"
Toyota Etios Liva G,Toyota,2014,"55,000 kms",Petrol,"2,70,000"
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,"33,333 kms",Diesel,"3,50,000"
Chevrolet Spark,Chevrolet,2012,"33,600 kms",Petrol,"1,58,400"
Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,"5,600 kms",Petrol,"3,50,000"
Nissan Micra XV,Nissan,2011,"41,000 kms",Petrol,"1,79,000"
Maruti Suzuki Swift,Maruti,2007,"70,000 kms",Petrol,"1,25,000"
Maruti Suzuki Alto 800,Maruti,2018,"7,500 kms",Petrol,"2,00,000"
Honda Amaze 1.5 S i DTEC,Honda,2013,"45,000 kms",Diesel,"2,99,000"
Maruti Suzuki Alto 800 Vxi,Maruti,2015,"38,000 kms",Petrol,"2,20,000"
Chevrolet Beat,Chevrolet,2015,"30,000 kms",Petrol,"1,50,000"
Toyota Corolla,Toyota,2009,"26,000 kms",,"2,75,000"
Honda City 1.5 V MT,Honda,2010,"35,000 kms",Petrol,"2,85,000"
Ford EcoSport Trend 1.5L TDCi,Ford,2016,"24,330 kms",Diesel,"8,30,000"
Hyundai i20 Asta 1.2,Hyundai,2009,"65,480 kms",Petrol,"2,10,000"
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,"41,000 kms",Petrol,"3,40,000"
Tata Indica V2 eLS,Tata,2006,"20,000 kms",Petrol,"90,000"
Maruti Suzuki Alto 800 Lxi,Maruti,2018,"28,028 kms",Petrol,Ask For Price
Hindustan Motors Ambassador,Hindustan,2000,"2,00,000 kms",Diesel,"70,000"
Toyota Corolla Altis 1.8 GL,Toyota,2010,"70,000 kms",Petrol,"2,89,999"
Toyota Corolla Altis 1.8 J,Toyota,2012,"59,000 kms",Petrol,"3,49,999"
Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012,"99,000 kms",Diesel,"8,49,999"
Volkswagen Jetta Highline TDI AT,Volkswagen,2014,"46,000 kms",Diesel,"7,49,999"
Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015,"2,800 kms",Petrol,"3,99,999"
Volkswagen Polo,Volkswagen,2014,"32,000 kms",Petrol,"2,74,999"
Mahindra Scorpio,Mahindra,2015,"22,000 kms",Diesel,"9,84,999"
Renault Duster,Renault,2014,"50,000 kms",Diesel,"4,49,999"
Honda Amaze,Honda,2015,"22,000 kms",Petrol,"3,44,999"
Nissan Sunny,Nissan,2012,"45,000 kms",Petrol,"2,24,999"
Hyundai Elite i20,Hyundai,2018,"21,000 kms",Petrol,"5,99,999"
Renault Kwid,Renault,2016,"11,000 kms",Petrol,"2,44,999"
Renault Duster,Renault,2013,"41,000 kms",Diesel,"3,99,999"
Ford EcoSport,Ford,2017,"39,000 kms",Petrol,"4,89,999"
Renault Duster,Renault,2014,"50,000 kms",Diesel,"4,74,999"
Mahindra Scorpio VLX Airbag,Mahindra,2011,"66,000 kms",Diesel,"4,99,999"
Maruti Suzuki Alto 800 Lxi,Maruti,2018,"3,000 kms",Petrol,"3,10,000"
Chevrolet Spark LT 1.0,Chevrolet,2010,"45,000 kms",Petrol,"85,000"
Datsun Redi GO T O,Datsun,2016,"7,000 kms",Petrol,"2,45,000"
Maruti Suzuki Swift RS VDI,Maruti,2010,"38,500 kms",Diesel,"1,89,500"
Fiat Punto Emotion 1.2,Fiat,2012,"37,200 kms",Diesel,"1,69,500"
Maruti Suzuki Swift RS VDI,Maruti,2010,"43,200 kms",Diesel,"1,59,500"
Toyota Etios GD,Toyota,2013,"24,800 kms",Petrol,"2,75,000"
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,"60,000 kms",Diesel,"3,70,000"
Hyundai i10 Sportz 1.2,Hyundai,2010,"45,872 kms",Petrol,"1,68,000"
Chevrolet Beat LT Opt Diesel,Chevrolet,2011,"40,000 kms",Diesel,"1,50,000"
Chevrolet Beat LS Diesel,Chevrolet,2011,"45,000 kms",Diesel,"1,45,000"
Chevrolet Beat LT Diesel,Chevrolet,2012,"38,000 kms",Diesel,"98,500"
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,"50,000 kms",Diesel,"6,99,000"
Tata Indigo CS,Tata,2011,"11,400 kms",Diesel,"85,000"
Toyota Corolla Altis 1.8 J,Toyota,2015,"42,000 kms",Petrol,"5,75,000"
Honda City 1.5 V MT,Honda,2014,"39,000 kms",Petrol,"5,49,000"
Maruti Suzuki Swift VDi,Maruti,2011,"47,000 kms",Diesel,"2,09,000"
Hyundai Eon Era Plus,Hyundai,2013,"27,000 kms",Petrol,"1,85,000"
Mahindra Scorpio S10,Mahindra,2015,"97,200 kms",Diesel,"9,00,000"
Mahindra XUV500,Mahindra,2014,"52,000 kms",Diesel,"6,99,999"
Honda Brio,Honda,2012,"30,000 kms",Petrol,"2,24,999"
Ford Fiesta,Ford,2011,"55,000 kms",Diesel,"2,74,999"
Honda Amaze,Honda,2013,"46,000 kms",Diesel,"2,84,999"
Honda City,Honda,2015,"30,000 kms",Diesel,"5,99,999"
Maruti Suzuki Wagon R,Maruti,2012,"44,000 kms",Petrol,"1,99,999"
Honda City,Honda,2014,"45,000 kms",Diesel,"5,44,999"
Hyundai i20,Hyundai,2009,"31,000 kms",Petrol,"1,99,000"
Tata Indigo eCS LX TDI BS III,Tata,2016,"1,75,430 kms",Diesel,"3,20,000"
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,"38,000 kms",Diesel,"5,40,000"
"Commercial , DZire LDI, 2016, for sale",Commercial,...,,,Ask For Price
Mahindra Quanto C8,Mahindra,2013,"37,000 kms",Diesel,"3,40,000"
Fiat Petra ELX 1.2 PS,Fiat,2008,"65,000 kms",Petrol,"75,000"
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"38,200 kms",Diesel,"1,59,500"
Mini Cooper S 1.6,Mini,2013,"13,000 kms",Petrol,"18,91,111"
Hyundai Santro Xing XS,Hyundai,2005,"7,500 kms",Petrol,"49,000"
Maruti Suzuki Ciaz VXi Plus,Maruti,2016,"3,350 kms",Petrol,"7,00,000"
Maruti Suzuki Zen VX,Maruti,2000,"60,000 kms",Petrol,"55,000"
Honda City,Honda,2015,"54,000 kms",Petrol,"4,48,999"
Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017,"32,000 kms",Petrol,"8,95,000"
"Tata indigo ecs LX, 201",Tata,150k,,,"1,50,000"
Mahindra Scorpio SLX,Mahindra,2007,"75,000 kms",Diesel,"3,55,000"
Mahindra Scorpio SLE BS IV,Mahindra,2012,"62,000 kms",Diesel,"5,65,000"
Toyota Innova 2.5 G BS III 8 STR,Toyota,2006,"73,000 kms",Diesel,"3,65,000"
Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,"41,000 kms",Petrol,"1,45,000"
Maruti Suzuki Wagon R LXI BS IV,Maruti,2011,"35,000 kms",Petrol,"2,10,000"
Tata Nano Cx BSIV,Tata,2013,"2,200 kms",Petrol,"40,000"
Maruti Suzuki Alto Std BS IV,Maruti,2013,"39,000 kms",Petrol,"1,25,000"
Maruti Suzuki Wagon R LXi BS III,Maruti,2009,"45,000 kms",Petrol,"1,35,000"
Maruti Suzuki Swift VXI BSIII,Maruti,2006,"45,000 kms",Petrol,"1,35,000"
Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,"65,000 kms",Diesel,"2,85,000"
MARUTI SUZUKI DESI,MARUTI,TOUR,,,"4,00,000"
Maruti Suzuki Wagon R LXi BS III,Maruti,2010,"54,870 kms",Petrol,"1,45,000"
Maruti Suzuki Alto LXi BS III,Maruti,2010,"34,580 kms",Petrol,"1,35,000"
Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,"97,000 kms",Diesel,"4,50,000"
Renault Scala RxL Diesel Travelogue,Renault,2015,"25,000 kms",Diesel,"3,75,000"
Mahindra Quanto C8,Mahindra,2013,"20,000 kms",Diesel,"3,75,000"
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,"20,000 kms",Petrol,"3,65,000"
Hyundai i20 Active 1.2 SX,Hyundai,2015,"18,000 kms",Petrol,"5,00,000"
Mahindra Xylo E4,Mahindra,2012,"35,000 kms",Diesel,"4,00,000"
Mahindra Jeep MM 550 XDB,Mahindra,2019,60 kms,Diesel,"3,90,000"
Renault Duster 110PS Diesel RxZ,Renault,2012,"35,000 kms",Diesel,"5,01,000"
Mahindra Bolero SLE BS IV,Mahindra,2013,"80,200 kms",Diesel,"3,30,000"
Force Motors Force One LX ABS 7 STR,Force,2015,"3,200 kms",Diesel,"5,80,000"
Maruti Suzuki SX4,Maruti,2012,"46,000 kms",Diesel,"2,65,000"
Mahindra Jeep CL550 MDI,Mahindra,2019,"0,000 kms",Diesel,"3,79,000"
Maruti Suzuki Alto 800,Maruti,2015,"5,000 kms",Petrol,"2,19,000"
Mahindra Jeep CL550 MDI,Mahindra,2018,588 kms,Diesel,"3,85,000"
Toyota Etios,Toyota,2011,"36,000 kms",Diesel,"2,75,000"
Volkswagen Polo,Volkswagen,2015,"38,000 kms",Diesel,"3,30,000"
Honda City ZX VTEC,Honda,2008,"45,000 kms",Petrol,"1,10,000"
Maruti Suzuki Wagon R LX BS III,Maruti,2006,"71,200 kms",Petrol,"80,000"
Honda City VX O MT Diesel,Honda,2016,"52,000 kms",Diesel,"5,19,000"
Mahindra Thar CRDe 4x4 AC,Mahindra,2016,"29,000 kms",Diesel,"7,30,000"
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"47,000 kms",Diesel,"14,75,000"
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,"47,000 kms",Petrol,"6,99,000"
Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015,"20,000 kms",Diesel,"20,00,000"
Land Rover Freelander 2 SE,Land,2015,"30,000 kms",Diesel,"21,00,000"
Renault Kwid RXT,Renault,2017,"5,000 kms",Petrol,"3,40,000"
Tata Aria Pleasure 4X2,Tata,2014,"35,000 kms",Diesel,"3,90,000"
Mercedes Benz B Class B180 Sports,Mercedes,2014,"31,000 kms",Petrol,"14,00,000"
Datsun GO T O,Datsun,2016,"7,000 kms",Petrol,"2,45,000"
Tata Indigo eCS LX TDI BS III,Tata,2016,"1,75,430 kms",Diesel,"3,20,000"
Tata Indigo eCS LX TDI BS III,Tata,2016,"1,75,400 kms",Diesel,"3,20,000"
Honda Jazz VX MT,Honda,2016,"41,000 kms",Petrol,"4,50,000"
Honda Amaze 1.2 S i VTEC,Honda,2014,"33,000 kms",Petrol,"3,11,000"
Honda Amaze,Honda,2013,"46,000 kms",Diesel,"2,84,999"
Honda City,Honda,2012,"45,000 kms",Petrol,"3,99,999"
Honda City,Honda,2015,"39,000 kms",Diesel,"5,99,999"
Honda Amaze,Honda,2015,"22,000 kms",Petrol,"3,44,999"
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,"47,000 kms",Petrol,"6,99,000"
Force Motors Force One LX ABS 7 STR,Force,2015,"3,200 kms",Diesel,"5,80,000"
Mahindra Scorpio S4,Mahindra,2015,"30,000 kms",Diesel,"8,55,000"
Hyundai i20 Active 1.4L SX O,Hyundai,2015,"37,000 kms",Diesel,"5,35,000"
Mini Cooper S,Mini,2013,"13,000 kms",Petrol,"18,91,111"
Maruti Suzuki Ciaz ZXI Plus,Maruti,2017,"14,000 kms",Petrol,"6,99,000"
Chevrolet Tavera Neo,Chevrolet,2013,"55,000 kms",Diesel,"3,75,000"
Honda Amaze,Honda,2013,"46,000 kms",Diesel,"2,84,999"
Hyundai Eon Sportz,Hyundai,2012,"30,000 kms",Petrol,"1,78,000"
Tata Sumo Gold Select Variant,Tata,2013,"50,000 kms",Diesel,"3,00,000"
Maruti Suzuki Wagon R 1.0,Maruti,2003,"45,000 kms",Petrol,"90,000"
Maruti Suzuki Esteem VXi BS III,Maruti,2006,"45,000 kms",Petrol,"95,000"
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"9,300 kms",Petrol,"2,55,000"
Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,2013,"55,000 kms",Diesel,"2,45,000"
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,"36,200 kms",Diesel,"3,29,500"
Ford Figo Diesel EXI,Ford,2014,"50,000 kms",Diesel,"1,95,000"
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"55,000 kms",Petrol,"2,51,111"
Maruti Suzuki Ertiga ZXi,Maruti,2014,"45,000 kms",Petrol,"5,69,999"
Maruti Suzuki Esteem LXi BS III,Maruti,2007,"51,000 kms",Petrol,"69,999"
Maruti Suzuki Ritz VXI,Maruti,2014,"19,000 kms",Petrol,"2,99,999"
Maruti Suzuki Dzire,Maruti,2009,"46,000 kms",Petrol,"2,20,000"
Maruti Suzuki Ritz LDi,Maruti,2013,"33,000 kms",Diesel,"3,99,999"
Maruti Suzuki SX4 ZXI MT,Maruti,2010,"36,000 kms",Petrol,"2,49,999"
Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015,"22,000 kms",Petrol,"2,89,999"
Mini Cooper S 1.6,Mini,2013,"13,500 kms",Petrol,"18,91,111"
Nissan Terrano XL D Plus,Nissan,2015,"60,000 kms",Diesel,"4,99,999"
Renault Duster 85 PS RxE Diesel,Renault,2013,"27,000 kms",Diesel,"4,89,999"
Renault Duster 85 PS RxE Diesel,Renault,2014,"59,000 kms",Diesel,"4,89,999"
Renault Duster 85 PS RxL Diesel,Renault,2015,"19,000 kms",Diesel,"5,49,999"
Maruti Suzuki Dzire ZXI,Maruti,2013,"30,000 kms",Petrol,"3,80,000"
Renault Kwid RXT Opt,Renault,2018,"15,000 kms",Petrol,"3,25,000"
Maruti Suzuki Maruti 800 Std,Maruti,2003,"56,758 kms",Petrol,"57,000"
Renault Kwid 1.0 RXT AMT,Renault,2018,"10,000 kms",Petrol,"3,49,999"
Renault Lodgy 85 PS RXL,Renault,2018,"20,000 kms",Diesel,"6,89,999"
Renault Scala RxL Diesel,Renault,2014,"49,000 kms",Diesel,"3,49,999"
Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,"41,000 kms",Petrol,"4,10,000"
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,"45,000 kms",Petrol,"2,25,000"
Chevrolet Beat LS Petrol,Chevrolet,2010,"43,000 kms",Petrol,"1,20,000"
Tata Indigo eCS LX TDI BS III,Tata,2016,"1,75,430 kms",Diesel,"3,20,000"
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,"56,450 kms",Petrol,"59,000"
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,"38,000 kms",Diesel,"5,40,000"
"Commercial , DZire LDI, 2016, for sale",Commercial,...,,,Ask For Price
Chevrolet Beat LS Petrol,Chevrolet,2010,"56,000 kms",Petrol,"80,000"
Mahindra Quanto C8,Mahindra,2013,"37,000 kms",Diesel,"3,40,000"
Fiat Petra ELX 1.2 PS,Fiat,2008,"65,000 kms",Petrol,"75,000"
Chevrolet Beat LS Petrol,Chevrolet,2015,"32,700 kms",Petrol,"2,20,000"
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"38,200 kms",Diesel,"1,59,500"
Ford EcoSport Titanium 1.5L TDCi,Ford,2016,"30,000 kms",Diesel,"5,99,000"
Hyundai Accent GLX,Hyundai,2006,"56,000 kms",Petrol,"80,000"
Yama,Yamaha,r 15,,,"55,000"
Maruti Suzuki Swift LDi,Maruti,2010,"52,000 kms",Diesel,Ask For Price
Mahindra TUV300 T4 Plus,Mahindra,2016,"9,000 kms",Diesel,"6,75,000"
Mini Cooper S 1.6,Mini,2013,"13,000 kms",Petrol,"18,91,111"
Mini Cooper S 1.6,Mini,2013,"13,000 kms",Petrol,"18,91,111"
Tata Indica V2 Xeta e GLE,Tata,2008,"11,000 kms",Petrol,"1,50,000"
Mini Cooper S,Mini,2013,"13,000 kms",Petrol,"18,91,111"
Tata Indigo CS LS DiCOR,Tata,2009,"46,000 kms",Diesel,"72,500"
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,73 kms,Petrol,"6,10,000"
Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004,"1,60,000 kms",Diesel,"2,30,000"
Tata Indica eV2 LS,Tata,2017,"84,000 kms",Diesel,Ask For Price
Honda Accord,Honda,2009,"58,559 kms",Petrol,"1,75,000"
Mahindra Scorpio S4,Mahindra,2015,"30,000 kms",Diesel,"8,55,000"
Chevrolet Tavera Neo,Chevrolet,2013,"55,000 kms",Diesel,"3,75,000"
